ARREST_DATE,count
01/01/2021,442
01/01/2022,357
01/01/2023,431
01/02/2021,386
01/02/2022,264
01/03/2021,307
01/03/2022,313
01/04/2021,359
01/04/2022,439
01/05/2021,592
01/05/2022,516
01/06/2021,634
01/06/2022,544
01/07/2021,533
01/07/2022,367
01/08/2021,495
01/08/2022,393
01/09/2021,350
01/09/2022,312
01/10/2021,287
01/10/2022,382
01/11/2021,376
01/11/2022,549
01/12/2021,506
01/12/2022,588
01/13/2021,544
01/13/2022,592
01/14/2021,507
01/14/2022,528
01/15/2021,508
01/15/2022,369
01/16/2021,400
01/16/2022,301
01/17/2021,292
01/17/2022,368
01/18/2021,381
01/18/2022,596
01/19/2021,515
01/19/2022,631
01/20/2021,560
01/20/2022,614
01/21/2021,551
01/21/2022,516
01/22/2021,534
01/22/2022,355
01/23/2021,376
01/23/2022,343
01/24/2021,328
01/24/2022,337
01/25/2021,338
01/25/2022,603
01/26/2021,431
01/26/2022,474
01/27/2021,559
01/27/2022,478
01/28/2021,465
01/28/2022,257
01/29/2021,358
01/29/2022,223
01/30/2021,289
01/30/2022,243
01/31/2021,303
01/31/2022,338
02/01/2021,139
02/01/2022,544
02/02/2021,272
02/02/2022,333
02/03/2021,532
02/03/2022,579
02/04/2021,616
02/04/2022,498
02/05/2021,471
02/05/2022,461
02/06/2021,385
02/06/2022,419
02/07/2021,271
02/07/2022,381
02/08/2021,359
02/08/2022,631
02/09/2021,498
02/09/2022,716
02/10/2021,539
02/10/2022,628
02/11/2021,507
02/11/2022,588
02/12/2021,499
02/12/2022,476
02/13/2021,331
02/13/2022,346
02/14/2021,256
02/14/2022,425
02/15/2021,295
02/15/2022,623
02/16/2021,504
02/16/2022,628
02/17/2021,583
02/17/2022,692
02/18/2021,331
02/18/2022,569
02/19/2021,415
02/19/2022,424
02/20/2021,387
02/20/2022,381
02/21/2021,306
02/21/2022,395
02/22/2021,371
02/22/2022,506
02/23/2021,499
02/23/2022,668
02/24/2021,573
02/24/2022,533
02/25/2021,580
02/25/2022,415
02/26/2021,464
02/26/2022,387
02/27/2021,317
02/27/2022,373
02/28/2021,353
02/28/2022,451
03/01/2021,417
03/01/2022,638
03/02/2021,571
03/02/2022,724
03/03/2021,592
03/03/2022,620
03/04/2021,570
03/04/2022,549
03/05/2021,534
03/05/2022,445
03/06/2021,397
03/06/2022,432
03/07/2021,369
03/07/2022,459
03/08/2021,411
03/08/2022,645
03/09/2021,567
03/09/2022,615
03/10/2021,629
03/10/2022,712
03/11/2021,573
03/11/2022,554
03/12/2021,546
03/12/2022,402
03/13/2021,396
03/13/2022,307
03/14/2021,337
03/14/2022,501
03/15/2021,372
03/15/2022,601
03/16/2021,542
03/16/2022,709
03/17/2021,546
03/17/2022,610
03/18/2021,515
03/18/2022,505
03/19/2021,428
03/19/2022,406
03/20/2021,387
03/20/2022,402
03/21/2021,352
03/21/2022,502
03/22/2021,413
03/22/2022,671
03/23/2021,522
03/23/2022,606
03/24/2021,486
03/24/2022,588
03/25/2021,488
03/25/2022,588
03/26/2021,402
03/26/2022,454
03/27/2021,299
03/27/2022,389
03/28/2021,258
03/28/2022,392
03/29/2021,306
03/29/2022,589
03/30/2021,424
03/30/2022,655
03/31/2021,331
03/31/2022,670
04/01/2021,490
04/01/2022,573
04/02/2021,358
04/02/2022,410
04/03/2021,249
04/03/2022,429
04/04/2021,242
04/04/2022,502
04/05/2021,304
04/05/2022,686
04/06/2021,424
04/06/2022,713
04/07/2021,538
04/07/2022,665
04/08/2021,477
04/08/2022,597
04/09/2021,362
04/09/2022,475
04/10/2021,347
04/10/2022,430
04/11/2021,268
04/11/2022,572
04/12/2021,291
04/12/2022,626
04/13/2021,464
04/13/2022,669
04/14/2021,485
04/14/2022,645
04/15/2021,371
04/15/2022,505
04/16/2021,320
04/16/2022,434
04/17/2021,256
04/17/2022,245
04/18/2021,242
04/18/2022,364
04/19/2021,310
04/19/2022,585
04/20/2021,363
04/20/2022,651
04/21/2021,391
04/21/2022,684
04/22/2021,342
04/22/2022,537
04/23/2021,278
04/23/2022,411
04/24/2021,273
04/24/2022,377
04/25/2021,256
04/25/2022,498
04/26/2021,230
04/26/2022,631
04/27/2021,397
04/27/2022,668
04/28/2021,415
04/28/2022,602
04/29/2021,398
04/29/2022,479
04/30/2021,283
04/30/2022,411
05/01/2021,263
05/01/2022,440
05/02/2021,245
05/02/2022,432
05/03/2021,343
05/03/2022,645
05/04/2021,322
05/04/2022,747
05/05/2021,518
05/05/2022,738
05/06/2021,459
05/06/2022,581
05/07/2021,403
05/07/2022,357
05/08/2021,319
05/08/2022,377
05/09/2021,261
05/09/2022,490
05/10/2021,380
05/10/2022,623
05/11/2021,508
05/11/2022,709
05/12/2021,497
05/12/2022,662
05/13/2021,472
