Date,Vol
2021-01-04,30067
2021-01-05,31570
2021-01-06,31025
2021-01-07,31488
2021-01-08,30893
2021-01-09,34233
2021-01-10,31818
2021-01-11,30554
2021-01-12,32031
2021-01-13,31454
2021-01-14,33598
2021-01-15,34172
2021-01-16,6446
2021-02-25,26588
2021-02-26,25464
2021-02-27,17499
2021-02-28,17254
2021-03-01,19752
2021-03-02,18500
2021-03-03,19207
2021-03-04,40247
2021-03-05,46811
2021-03-06,43497
2021-03-07,38787
2021-03-08,44022
2021-03-09,47385
2021-03-10,47758
2021-03-11,48563
2021-03-12,50452
2021-03-13,45339
2021-03-14,39159
2021-03-15,45501
2021-03-16,46499
2021-03-17,47632
2021-03-18,45048
2021-03-19,48646
2021-03-20,45830
2021-03-21,40655
2021-03-22,62903
2021-03-23,61086
2021-03-24,56057
2021-03-25,61030
2021-03-26,62218
2021-03-27,56652
2021-03-28,40296
2021-03-29,7083
2021-03-30,2240
2021-03-31,2093
2021-04-01,2385
2021-04-02,2331
2021-04-03,17829
2021-04-04,14294
2021-04-05,19957
2021-04-06,21387
2021-04-07,17059
2021-04-08,21908
2021-04-09,21828
2021-04-10,18094
2021-04-11,16589
2021-04-12,19663
2021-04-13,18854
2021-04-14,21350
2021-04-15,20382
2021-04-16,21375
2021-04-17,41257
2021-04-18,34184
2021-04-19,46911
2021-04-20,50402
2021-04-21,43868
2021-04-22,48829
2021-04-23,54255
2021-04-24,45720
2021-04-25,21758
2021-04-26,44464
2021-04-27,49019
2021-04-28,50703
2021-04-29,47431
2021-04-30,34100
2021-05-01,34913
2021-05-02,29240
2021-05-03,29693
2021-05-04,28924
2021-05-05,28273
2021-05-06,30363
2021-05-07,31007
2021-05-08,26803
2021-05-09,22785
2021-05-10,27543
2021-05-11,28529
2021-05-12,29279
2021-05-13,28596
2021-05-14,50635
2021-05-15,44374
2021-05-16,37254
2021-05-17,52269
2021-05-18,54367
2021-05-19,58340
2021-05-20,55985
2021-05-21,57894
2021-05-22,52891
2021-05-23,55677
2021-05-24,52050
2021-05-25,285472
2021-05-26,290243
2021-05-27,283413
2021-05-28,48505
2021-05-29,2120
2021-06-01,19500
2021-06-02,20058
2021-06-03,18505
2021-06-04,21306
2021-06-05,32401
2021-06-06,32845
2021-06-07,53281
2021-06-08,234359
2021-06-09,24716
2021-06-10,24537
2021-06-11,25849
2021-06-12,22925
2021-06-13,23801
2021-06-14,25953
2021-06-15,24105
2021-06-16,75255
2021-06-17,75481
2021-06-18,76824
2021-06-19,105133
2021-06-20,103287
2021-06-21,121267
2021-06-22,10706
2021-06-23,9444
2021-06-24,9920
2021-06-25,483
2021-07-11,12464
2021-07-12,7774
2021-07-13,39780
2021-07-14,39609
2021-07-15,41086
2021-07-16,40137
2021-07-17,36807
2021-07-18,32068
2021-07-19,34598
2021-07-26,7537
2021-07-27,9486
2021-07-28,9582
2021-07-29,8507
2021-07-30,5159
2021-07-31,4139
2021-08-01,3755
2021-08-02,15161
2021-08-03,17852
2021-08-04,17002
2021-08-05,17559
2021-08-06,5725
2021-08-07,4090
2021-08-08,3701
2021-08-09,4832
2021-08-10,4968
2021-08-11,4602
2021-08-12,4561
2021-08-13,48331
2021-08-14,215845
2021-08-15,41224
2021-08-16,47132
2021-08-17,219112
2021-08-18,213064
2021-08-19,213127
2021-08-20,40717
2021-08-21,37905
2021-08-22,24119
2021-08-23,38117
2021-08-24,27631
2021-08-25,39445
2021-08-26,38990
2021-08-27,43654
2021-08-28,30173
2021-08-29,24806
2021-08-30,2397
2021-08-31,2451
2021-09-01,2338
2021-09-02,1977
2021-09-17,1163
2021-09-18,13881
2021-09-19,11664
2021-09-20,23437
2021-09-21,13406
2021-09-22,19815
2021-09-23,22984
2021-09-24,28600
2021-09-25,15407
2021-09-26,14811
2021-09-27,30530
2021-09-28,30494
2021-09-29,30890
2021-09-30,31918
2021-10-01,30267
2021-10-02,6711
2021-10-04,8459
2021-10-05,9083
2021-10-06,9009
2021-10-07,9410
2021-10-08,10151
2021-10-09,7309
2021-10-10,5876
2021-10-11,4664
2021-10-12,17953
2021-10-13,27443
2021-10-14,47162
2021-10-15,46652
2021-10-16,214939
2021-10-17,34873
2021-10-18,46678
2021-10-19,48177
2021-10-20,47441
2021-10-21,46790
2021-10-22,50228
2021-10-23,45009
2021-10-24,43202
2021-10-25,46290
2021-10-26,115264
2021-10-27,126332
2021-10-28,123597
2021-10-29,50237
2021-10-30,44761
2021-10-31,23814
2021-11-01,35914
2021-11-02,35927
2021-11-03,35381
2021-11-04,36457
2021-11-05,36442
2021-11-06,30026
2021-11-07,44731
2021-11-08,50541
2021-11-09,50691
2021-11-10,50710
2021-11-11,51583
2021-11-12,53626
2021-11-13,47609
2021-11-14,11277
2021-11-15,13836
2021-11-16,13656
2021-11-17,13293
2021-11-18,13471
2021-11-19,13436
2021-11-20,12953
2021-11-22,8757
2021-11-23,10134
2021-11-24,10200
2021-11-25,6772
2021-11-26,7578
2021-11-27,8002
2021-11-28,7477
2021-11-29,9529
2021-11-30,9487
2021-12-01,9926
2021-12-02,9565
2021-12-03,1318
2022-01-03,25216
2022-01-04,26864
2022-01-05,24810
2022-01-06,25050
